period_bb,k_std,net_profit,car,drawdown,sharpe,sortino,psr,win_rate,loss_rate,profit_loss_ratio,total_orders,total_fees,status
10,1.5,-2.866,-5.695,29.4,-0.193,-0.182,19.996,66.0,34.0,0.51,398,14214.75,ok
10,2.0,1.024,2.077,24.6,-0.025,-0.02,24.984,68.0,32.0,0.48,266,9887.0,ok
10,2.5,-4.932,-9.697,20.0,-0.951,-0.828,9.899,63.0,37.0,0.5,86,3218.46,ok
10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,ok
14,1.5,-13.2,-24.835,29.5,-0.72,-0.61,8.18,64.0,36.0,0.49,301,10672.92,ok
14,2.0,-17.57,-32.27,30.6,-0.965,-0.75,4.414,62.0,38.0,0.47,217,7439.58,ok
14,2.5,-12.904,-24.316,26.0,-0.861,-0.528,5.952,60.0,40.0,0.5,121,4176.26,ok
14,3.0,-4.276,-8.435,17.8,-0.471,-0.149,14.516,65.0,35.0,0.45,34,1311.61,ok
20,1.5,-30.601,-52.128,35.8,-1.509,-1.331,0.525,62.0,38.0,0.38,197,6495.49,ok
20,2.0,-31.493,-53.362,37.3,-1.647,-1.325,0.224,56.0,44.0,0.42,155,4964.41,cache
20,2.5,-28.547,-49.229,39.1,-1.586,-1.098,0.308,55.0,45.0,0.42,107,3389.46,ok
20,3.0,5.545,11.496,9.4,0.272,0.248,41.231,56.0,44.0,1.03,64,2561.82,ok
30,1.5,-23.256,-41.362,29.2,-1.118,-0.97,2.847,66.0,34.0,0.37,161,5579.63,ok
30,2.0,-31.399,-53.232,37.3,-1.538,-1.233,0.491,55.0,45.0,0.46,111,3514.09,ok
30,2.5,-31.641,-53.564,41.2,-1.638,-1.161,0.254,54.0,46.0,0.4,83,2538.09,ok
30,3.0,-29.572,-50.687,35.9,-1.754,-0.953,0.094,42.0,58.0,0.4,49,1544.42,ok
40,1.5,-23.665,-41.989,30.4,-1.091,-0.948,3.227,62.0,38.0,0.4,117,4181.47,ok
40,2.0,-22.251,-39.803,30.5,-1.08,-0.855,3.372,56.0,44.0,0.48,87,3076.77,ok
40,2.5,-23.958,-42.438,31.7,-1.219,-0.89,2.121,54.0,46.0,0.44,71,2414.69,ok
40,3.0,-18.198,-33.307,23.8,-1.033,-0.601,3.891,50.0,50.0,0.51,41,1466.3,ok
50,1.5,-33.615,-56.229,37.8,-1.454,-1.278,0.966,60.0,40.0,0.3,91,2942.02,ok
50,2.0,-32.376,-54.566,35.5,-1.462,-1.184,0.978,56.0,44.0,0.3,69,2265.91,ok
50,2.5,-28.094,-48.577,31.9,-1.364,-0.96,1.487,56.0,44.0,0.28,51,1703.16,ok
50,3.0,-20.148,-36.474,24.3,-1.015,-0.611,4.403,59.0,41.0,0.32,35,1234.29,ok
