rsi_period,seuil,net_profit,car,drawdown,sharpe,sortino,psr,win_rate,loss_rate,profit_loss_ratio,total_orders,total_fees,status
7,10,-28.874,-49.695,31.0,-1.106,-1.091,3.31,50.0,50.0,0.6,5,168.64,ok
7,15,-18.274,-33.431,32.5,-0.674,-0.71,8.973,60.0,40.0,0.62,21,772.19,ok
7,20,-30.842,-52.463,34.6,-1.196,-1.259,2.4,59.0,41.0,0.38,35,1126.22,ok
7,25,-35.657,-58.901,37.9,-1.432,-1.432,0.828,53.0,47.0,0.43,69,2052.92,ok
7,30,-20.618,-37.225,28.7,-0.871,-0.865,5.721,57.0,43.0,0.57,109,3725.11,ok
7,35,-24.255,-42.89,31.6,-1.034,-1.025,3.626,65.0,35.0,0.4,163,5589.06,ok
7,40,-26.129,-45.704,36.5,-1.128,-1.106,2.63,71.0,29.0,0.32,247,8292.08,ok
10,10,-25.647,-44.987,29.3,-0.908,-1.179,5.447,0.0,0.0,0.0,1,39.88,ok
10,15,-39.218,-63.359,39.9,-1.568,-1.395,0.674,50.0,50.0,0.0,5,157.48,ok
10,20,-20.413,-36.898,32.8,-0.767,-0.771,7.508,50.0,50.0,0.75,17,597.91,ok
10,25,-27.0,-46.987,34.6,-1.028,-1.105,4.063,59.0,41.0,0.43,35,1156.52,ok
10,30,-38.508,-62.491,42.2,-1.51,-1.53,0.695,52.0,48.0,0.34,55,1570.04,ok
10,35,-31.456,-53.311,33.8,-1.262,-1.315,1.733,50.0,50.0,0.56,85,2750.18,ok
10,40,-26.857,-46.777,33.0,-1.132,-1.131,2.707,63.0,37.0,0.41,151,5108.02,ok
14,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,ok
14,15,-25.647,-44.987,29.3,-0.908,-1.179,5.447,0.0,0.0,0.0,1,39.88,ok
14,20,-39.931,-64.221,40.6,-1.62,-1.448,0.553,50.0,50.0,0.14,5,159.62,ok
14,25,-18.52,-33.835,32.8,-0.683,-0.711,8.832,62.0,38.0,0.5,17,614.4,ok
14,30,-26.446,-46.173,33.9,-0.99,-1.072,4.458,60.0,40.0,0.44,31,1029.64,cache
14,35,-38.639,-62.652,41.4,-1.51,-1.568,0.82,50.0,50.0,0.36,49,1462.53,ok
14,40,-27.272,-47.385,31.2,-1.072,-1.129,3.443,51.0,49.0,0.59,87,2916.55,ok
21,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,ok
21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,ok
21,20,-33.698,-56.339,35.6,-1.132,-1.474,2.817,0.0,0.0,0.0,1,39.88,ok
21,25,-39.016,-63.113,39.7,-1.559,-1.416,0.746,50.0,50.0,0.15,5,161.45,ok
21,30,-21.996,-39.404,32.8,-0.817,-0.835,6.786,50.0,50.0,0.67,13,458.19,ok
21,35,-23.069,-41.073,32.8,-0.869,-0.919,6.008,77.0,23.0,0.21,27,930.8,ok
21,40,-33.305,-55.816,35.3,-1.334,-1.377,1.639,54.0,46.0,0.37,49,1558.03,ok
30,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,ok
30,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,ok
30,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,ok
30,25,-34.438,-57.316,35.6,-1.156,-1.512,2.615,0.0,0.0,0.0,1,39.88,ok
30,30,-31.508,-53.382,37.6,-1.294,-1.101,1.995,33.0,67.0,0.21,7,217.24,ok
30,35,-31.319,-53.122,32.9,-1.146,-1.227,2.885,40.0,60.0,0.72,11,363.96,ok
30,40,-22.808,-40.67,30.4,-0.866,-0.932,6.072,71.0,29.0,0.27,29,1046.13,ok
